Disease,Category,Symptoms,Prevention,Risk_Level
De Quervain tenosynovitis,Musculoskeletal,"Pain near the base of the thumb; Swelling near the base of the thumb; Difficulty moving the thumb and wrist when doing something that involves grasping or pinching; A ""sticking"" or ""stop-and-go"" sensation in the thumb when moving it; If the condition goes too long without treatment, the pain may spread farther into the thumb or forearm or both",,Low
Retractile testicle,Infectious,Testicles form in the abdomen during fetal development; Symptoms of a retractile testicle include:; The testicle may be moved by hand from the groin into the scrotum and won't immediately retreat to the groin; The testicle might spontaneously appear in the scrotum and remain there for a time; The testicle might spontaneously disappear again for a time; Retractile testicle is different from undescended testicle (cryptorchidism). An undescended testicle is one that never entered the scrotum,,Medium
Buerger disease,Cardiovascular,"Tingling or numbness in the fingers or toes; Changes in skin color in the hands and feet; Fingers and toes that turn white then blue when exposed to cold, known as Raynaud's disease; Pain in the feet that occurs with walking. The pain may make it difficult to walk long distances; Painful open sores on fingers and toes. Pain in the fingers and toes may become severe and occur at rest; Inflammation of a vein just below the skin's surface, due to a blood clot in the vein","Nearly everyone who has Buerger disease has smoked or used some form of tobacco. To prevent Buerger disease, it's important to not use tobacco; Quitting smoking can be hard. Talk to a health care provider about ways to quit",High
Transient ischemic attack (TIA),Cardiovascular,"Weakness, numbness or paralysis in the face, arm or leg, typically on one side of the body; Slurred speech or trouble understanding others; Blindness in one or both eyes or double vision; Dizziness or loss of balance or coordination; You may have more than oneTIA. Their symptoms may be similar or different depending on which area of the brain is involved","Don't smoke.Stopping smoking reduces your risk of aTIAor a stroke; Limit cholesterol and fat; Eat plenty of fruits and vegetables.These foods contain nutrients such as potassium, folate and antioxidants, which may protect against aTIAor a stroke; Limit sodium; Exercise regularly.If you have high blood pressure, regular exercise is one of the few ways you can lower your blood pressure without medicines; Limit alcohol intake.Drink alcohol in moderation, if at all. The recommended limit is no more than one drink daily for women and two drinks a day for men; Maintain a healthy weight; Don't use illicit drugs.Illicit drugs such as cocaine are associated with an increased risk of aTIAor a stroke",High
Jock itch,Infectious,"A spreading rash that begins in the crease of the groin and moves down the upper thigh and buttocks; A rash whose center tends to clear as the rash spreads; A rash that may be full or partially ring shaped; A rash bordered with small blisters; Itchiness; Scaly skin; A rash that might be red, brown, purple or gray depending on your skin color","Stay dry; Wear clean clothes; Find the correct fit; Don't share personal items.Don't let others use your clothing, towels or other personal items. Don't borrow such items from others; Treat or prevent athlete's foot",Medium
Cavities and tooth decay,Infectious,"Toothache and other pain; Tooth sensitivity; Mild to sharp pain when eating or drinking something sweet, hot or cold; Holes or pits in your teeth that you can see; Brown, black or white staining on any surface of a tooth; Pain when you bite down","Good oral and dental hygiene can help keep you from getting cavities. Here are some tips to help prevent cavities. Ask your dentist which tips are best for you; Brush with fluoride toothpaste after eating or drinking; Rinse your mouth.If your dentist feels that you have a high risk of getting cavities, a mouth rinse with fluoride may be recommended; Visit your dentist regularly; Consider dental sealants; Drink some tap water; Avoid snacking and sipping a lot; Eat tooth-healthy foods",High
Testicular torsion,Infectious,Young boys who have testicular torsion typically wake up due to scrotal pain in the middle of the night or early in the morning,Having testicles that can rotate in the scrotum is a trait inherited by some males,High
TEN,Skin,"Widespread skin pain; A spreading rash covering more than 30% of the body; Blisters and large areas of peeling skin; Sores, swelling and crusting on the mucous membranes, including the mouth, eyes and vagina","To prevent another episode ofTEN, learn whether it was caused by a medicine",High
Transposition of the great arteries,Cardiovascular,"Blue or gray skin due to low oxygen levels. Depending on skin color, these color changes may be harder or easier to see; Pounding heartbeat; Weak pulse; Lack of appetite; Poor weight gain; Some people with the congenitally corrected type of TGA may not have symptoms for many years; Also, skin color changes may not be seen right away if a baby with TGA also has other heart changes that let some oxygen-rich blood move through the body","Because the exact cause of most congenital heart defects is not known, it may not be possible to prevent these conditions; If you have a family history of heart conditions present at birth, talk with a genetic counselor and a healthcare professional trained in congenital heart defects before getting pregnant; It's important to take steps to have a healthy pregnancy",High
Down syndrome,Cardiovascular,Each person with Down syndrome is an individual; Children and adults with Down syndrome have distinct face and body features; Flattened face and small nose with a flat bridge; Small head; Short neck; Tongue that tends to stick out of the mouth; Upward slanting eyelids; Skin fold of the upper eyelid that covers the inner corner of the eye,There's no way to prevent Down syndrome; A genetic counselor can help you understand your chances of having a child with Down syndrome,High
